city;tid;link_A;link_B
Olomouc;A025;https://www.google.cz/maps/place/49%C2%B036'24.3%22N+17%C2%B013'16.7%22E/@49.606747,17.2191173,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d49.606747!4d17.221306;https://www.google.cz/maps/place/49%C2%B036'24.1%22N+17%C2%B013'27.5%22E/@49.606705,17.2221103,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d49.606705!4d17.224299
Olomouc;A026;https://www.google.cz/maps/place/49%C2%B036'07.9%22N+17%C2%B015'17.7%22E/@49.60219,17.2527303,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d49.60219!4d17.254919;https://www.google.cz/maps/place/49%C2%B036'12.8%22N+17%C2%B015'23.7%22E/@49.603567,17.2543823,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d49.603567!4d17.256571
Olomouc;A027;https://www.google.cz/maps/place/49%C2%B035'54.3%22N+17%C2%B016'13.7%22E/@49.598409,17.2682923,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d49.598409!4d17.270481;https://www.google.cz/maps/place/49%C2%B035'58.7%22N+17%C2%B016'22.3%22E/@49.599647,17.2706633,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d49.599647!4d17.272852
Olomouc;A028;https://www.google.cz/maps/place/49%C2%B035'37.4%22N+17%C2%B017'23.3%22E/@49.593733,17.2876153,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d49.593733!4d17.289804;https://www.google.cz/maps/place/49%C2%B035'30.8%22N+17%C2%B017'26.0%22E/@49.591891,17.2887085,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d49.591891!4d17.290549
Olomouc;A029;https://www.google.cz/maps/place/49%C2%B035'43.6%22N+17%C2%B015'55.9%22E/@49.595433,17.2633373,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d49.595433!4d17.265526;https://www.google.cz/maps/place/49%C2%B035'36.2%22N+17%C2%B015'49.0%22E/@49.593381,17.2614173,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d49.593381!4d17.263606
Olomouc;A030;https://www.google.cz/maps/place/49%C2%B035'32.6%22N+17%C2%B014'20.7%22E/@49.592384,17.2369013,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d49.592384!4d17.23909;https://www.google.cz/maps/place/49%C2%B035'25.4%22N+17%C2%B014'22.4%22E/@49.590374,17.2373733,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d49.590374!4d17.239562
Olomouc;A031;https://www.google.cz/maps/place/49%C2%B035'04.7%22N+17%C2%B014'39.0%22E/@49.584631,17.2426284,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d49.584631!4d17.244176;https://www.google.cz/maps/place/49%C2%B035'05.5%22N+17%C2%B014'49.0%22E/@49.584867,17.2447633,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d49.584867!4d17.246952
Olomouc;A032;https://www.google.cz/maps/place/49%C2%B035'10.1%22N+17%C2%B016'32.3%22E/@49.586141,17.2734383,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d49.586141!4d17.275627;https://www.google.cz/maps/place/49%C2%B035'05.6%22N+17%C2%B016'36.2%22E/@49.584895,17.2757908,18z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d49.584895!4d17.276711
Olomouc;A033;https://www.google.cz/maps/place/49%C2%B035'13.0%22N+17%C2%B017'23.8%22E/@49.586951,17.2877593,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d49.586951!4d17.289948;https://www.google.cz/maps/place/49%C2%B035'03.9%22N+17%C2%B017'30.9%22E/@49.584405,17.2897223,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d49.584405!4d17.291911
Olomouc;A034;https://www.google.cz/maps/place/49%C2%B034'25.5%22N+17%C2%B017'55.4%22E/@49.57376,17.2965253,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d49.57376!4d17.298714;https://www.google.cz/maps/place/49%C2%B034'28.2%22N+17%C2%B018'03.6%22E/@49.57449,17.2988213,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d49.57449!4d17.30101
